테마,종목명,등락률,거래대금,정렬용,화면크기_가중치,업데이트시간
DDR5/디램,티엘비,9.39,36746290350.0,9.39,21.553651557340128,2026-08-18 19:50:47
반도체 후공정/OSAT,하나마이크론,7.1,259802664800.0,7.1,20.24159409912751,2026-08-18 19:50:47
화장품,토니모리,-8.87,1549363620.0,8.87,19.450555058237523,2026-08-18 19:50:47
2차전지 급등주,에코프로비엠,-6.51,48921094600.0,6.51,18.81673726142106,2026-08-18 19:50:47
원자력발전,두산에너빌리티,-5.69,177759464700.0,5.69,18.641848575737594,2026-08-18 19:50:47
로봇/AI,레인보우로보틱스,-6.19,60050960000.0,6.19,18.59922968601952,2026-08-18 19:50:47
바이오시밀러,알테오젠,-5.1,136166928000.0,5.1,17.918573690900253,2026-08-18 19:50:47
자율주행/스마트카,모트렉스,-5.24,686786400.0,5.24,15.413766943133696,2026-08-18 19:50:47
방산 주도주,한화에어로스페이스,-1.21,237996696000.0,1.21,14.307761314086392,2026-08-18 19:50:47
대북/남북경협,코데즈컴바인,3.87,1000000000.0,3.87,14.231632918973204,2026-08-18 19:50:47
반도체 장비/재료,주성엔지니어링,0.84,408543835700.0,0.84,14.207932527213426,2026-08-18 19:50:47
초전도체,신성델타테크,-2.69,53526525.0,2.69,11.587843951037826,2026-08-18 19:50:47
메타버스,맥스트,0.0,1000000000.0,0.0,10.361632918973205,2026-08-18 19:50:47
